Location,Year,Indicator,Value,Unit
MH,2012,SE_TOT_PRFL,55.0,PERCENT
MH,2015,SE_TOT_PRFL,59.0,PERCENT
MH,2018,SE_TOT_PRFL,64.0,PERCENT
MH,2021,SE_TOT_PRFL,51.0,PERCENT
MH,2018,SE_TOT_GPI,121.0,INDEX
TO,2015,SE_TOT_PRFL,52.0,PERCENT
WS,2010,SE_PRE_PARTN,25.6,PERCENT
WS,2011,SE_PRE_PARTN,28.3,PERCENT
WS,2012,SE_PRE_PARTN,24.5,PERCENT
WS,2014,SE_PRE_PARTN,27.8,PERCENT
WS,2015,SE_PRE_PARTN,30.5,PERCENT
WS,2016,SE_PRE_PARTN,31.7,PERCENT
WS,2017,SE_PRE_PARTN,33.2,PERCENT
WS,2018,SE_PRE_PARTN,38.0,PERCENT
