Location,Year,Indicator,Value,Unit
SB,2013,SE_PRE_PARTN,58.5,PERCENT
SB,2014,SE_PRE_PARTN,60.6,PERCENT
SB,2015,SE_PRE_PARTN,63.3,PERCENT
SB,2018,SE_PRE_PARTN,57.4,PERCENT
SB,2019,SE_PRE_PARTN,64.34,PERCENT
WS,2018,SE_TOT_GPI,150.0,INDEX
VU,2012,SE_TOT_PRFL,23.0,PERCENT
VU,2015,SE_TOT_PRFL,27.0,PERCENT
VU,2018,SE_TOT_PRFL,28.0,PERCENT
TK,2019,SE_GC_TCAQ,33.3,PERCENT
TK,2020,SE_GC_TCAQ,33.33,PERCENT
TK,2021,SE_GC_TCAQ,33.33,PERCENT
SB,2015,SE_TOT_PRFL,91.0,PERCENT
TV,2019,SE_ACS_ELECT,18.2,PERCENT
TV,2020,SE_ACS_ELECT,100.0,PERCENT
TV,2021,SE_ACS_ELECT,91.7,PERCENT
TV,2022,SE_ACS_ELECT,91.7,PERCENT
FM,2018,SE_TOT_GPI,106.0,INDEX
NU,2015,SE_TOT_PRFL,61.0,PERCENT
NU,2018,SE_TOT_PRFL,85.0,PERCENT
MH,2015,SE_TOT_PRFL,64.0,PERCENT
MH,2018,SE_TOT_PRFL,70.0,PERCENT
MH,2019,SE_ACS_H2O,58.8,PERCENT
NR,2023,SE_TOT_ICTS,18.1,PERCENT
VU,2018,SPC_4_6_1,96.6,PERCENT
PW,2018,SE_TOT_GPI,96.0,INDEX
NR,2017,SE_GPI_TCAQ,100.0,INDEX
NR,2018,SE_GPI_TCAQ,100.0,INDEX
SB,2015,SE_TOT_PRFL,96.0,PERCENT
CK,2018,SE_ACS_H2O,100.0,PERCENT
CK,2020,SE_ACS_H2O,100.0,PERCENT
CK,2021,SE_ACS_H2O,100.0,PERCENT
CK,2022,SE_ACS_H2O,100.0,PERCENT
CK,2023,SE_ACS_H2O,100.0,PERCENT
WS,2014,SE_GPI_TCAQ,100.0,INDEX
CK,2015,SE_TOT_PRFL,64.0,PERCENT
CK,2018,SE_TOT_PRFL,63.0,PERCENT
TK,2015,SE_TOT_PRFL,23.0,PERCENT
TK,2018,SE_TOT_PRFL,50.0,PERCENT
FM,2012,SE_TOT_PRFL,41.0,PERCENT
FM,2015,SE_TOT_PRFL,47.0,PERCENT
FM,2018,SE_TOT_PRFL,71.0,PERCENT
FM,2021,SE_TOT_PRFL,48.0,PERCENT
FM,2021,SE_ACS_DISAB,34.3,PERCENT
FM,2022,SE_ACS_DISAB,34.3,PERCENT
TO,2014,SE_TOT_GPI,100.0,INDEX
NU,2012,SE_TOT_PRFL,54.0,PERCENT
NU,2015,SE_TOT_PRFL,49.0,PERCENT
NU,2018,SE_TOT_PRFL,50.0,PERCENT
TK,2019,SE_GC_TCAQ,7.7,PERCENT
